requestNumber,actionId,actionType,beginDate,endDate,requestID,requestId,requestTitle,pi,piInstitution,piUsername,fos,fosTypeId,opportunity,allocationType,abstract,updateDate
NAIRR240024,170058,New,4/22/24,10/22/24,1264628,1264628,Evaluating and Mitigating Bias in Autonomous Patient Monitoring from ICU Videos,"Schulman, Kevin","Clinical Excellence Research Center (CERC), Stanford School of Medicine",nairr-user-xxx,Health Sciences,502061,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"As part of our research objective to advance ambient intelligence in healthcare, we propose developing computer vision models to predict Richmond Agitation-Sedation Scale (RASS) scores from video streams of cameras in ICU patient rooms. RASS score is a critical indicator of a patient's level of consciousness and agitation. By accurately predicting RASS scores in real time, we can help clinicians manage patient sedation, improve patient outcomes, and enhance the quality of care provided. Importantly, our model development process incorporates robust measures to mitigate bias related to race and demographics, ensuring equitable predictions across diverse patient populations.",2024-04-26T14:37:37.922Z
NAIRR240027,170050,New,4/22/24,10/22/24,1264620,1264620,Enhancing Scalability and Privacy of Federated LLMs,"Ding, Yufei","University of California, San Diego",nairr-user-xxx,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This proposal explores the evolving landscape of Large Language Models (LLMs) like GPT, LLaMa, and PaLM, which have revolutionized areas including ChatBot interaction, time series forecasting, and code generation. Central to LLMs' effectiveness is the scale of their architecture and the extent of training data. However, the reliance on extensive, diverse datasets challenges the capacity of public data, necessitating the integration of private domain data. This integration, while promising, is hindered by privacy and competitive concerns. To navigate these challenges, the proposal emphasizes Federated Learning (FL) for LLMs. FL enables decentralized training across multiple private domains without relocating the data, addressing privacy issues. Yet, FL introduces systemic challenges, such as hardware heterogeneity and connectivity variances, which can compromise training effectiveness. Additionally, privacy concerns in FL are amplified in LLMs due to the influential role of fewer participants, raising the risk of peer-to-peer data breaches. The research focuses on two key areas: developing a Scalable Federated Learning System for LLMs and formulating a Security and Privacy Preserving Algorithm for their training. This approach aims to refine federated training processes and algorithms, setting a benchmark in federated LLM training. The anticipated outcome is a versatile, secure federated learning framework applicable across various domains, demonstrating the extensive potential of FL in advancing LLMs.",2024-04-26T14:37:37.922Z
NAIRR240028,170065,New,4/22/24,10/22/24,1264635,1264635,Build Reliable and Secure AI Surrogates for Large-Scale Scientific Applications with Portability Performance Analysis,"Dong, Wenqian",Florida International University,nairr-user-xxx,Applied Computer Science,502099,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Large-scale scientific simulations drive scientific and engineering discovery across many domains, but face performance problems. These simulations typically involve complex physics computations, such as (non-)linear programming problems in transportation, manufacturing, robotics, power grids, and renewable energy systems, which causes unaffordable running time. However, the computation components in the simulations are difficult to scale efficiently on high-performance hardware. 

In the next decade, Artificial Intelligence (AI) and Machine Learning (ML) may revolutionize the natural sciences, enhancing our capacity to model and predict natural occurrences. This could herald a new era of scientific exploration, bringing significant advancements across sectors from drug development to renewable energy.  By employing reverse-engineering and automatic learning methodologies it is often possible to solve complex, unstructured problems with a fraction of the computing power and execution time needed by traditional direct and first-principle methods. A deep neural network provides researchers with a powerful tool to learn the structure of physical phenomena directly from Nature, rather than having to explain the causal relationships through the direct application of physics law. Researchers have found that using AI techniques to act as surrogates for the computation-intensive parts of High-performance Computing (HPC) programs can achieve excellent accelerations.",2024-04-26T14:37:37.922Z
NAIRR240030,169422,New,4/22/24,10/22/24,1263963,1263963,Improving Factuality in Automated Course Logistics Question Answering,"Lan, Andrew",University of Massachusetts Amherst,0000-0002-8475-6600,Educational Sciences,502072,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Automated teaching assistants and chatbots have significant potential to reduce the workload of human instructors, especially for logistics-related question answering, which is important to students yet repetitive for instructors. However, due to privacy concerns, there is a lack of publicly available datasets. We have collected a dataset, which we call SyllabusQA, an open-source dataset with 63 real course syllabi covering 36 majors, containing 5,078 open-ended course logistics-related question-answer pairs that are diverse in both question types and answer formats. Our goal is to benchmark several strong baselines on this task, from large language model (LLM) prompting to retrieval-augmented generation (RAG), to investigate whether existing methods can perform well in terms of both textual similarity and fact precision.",2024-04-30T14:20:14.371Z
NAIRR240031,170048,New,4/22/24,10/22/24,1264618,1264618,"Advanced Training for Protein Diffusion, Binder Prediction, and Antibody Design","Baker, David",University of Washington Howard Hughes Medical Institute,nairr-user-xxx,Biochemistry and Molecular Biology,502061,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Advances in deep learning have enabled accurate protein structure prediction and are massively speeding up biochemical discoveries. We recently developed RoseTTAFold All-Atom and RFDiffusion, allowing prediction and generation of complicated biomolecules, including non-amino acids. While seeing early success, current models encounter challenges for designing binders to polar flexible ligands, antibody-protein interactions, and enzyme catalytic sites. We propose to fine-tuning our current models for specific problems, such as antibodies and polar ligands, to quickly improve the model performance even with limited training resources and enable us to tackle problems currently inaccessible but more clinically related.",2024-04-26T14:37:37.922Z
NAIRR240032,170060,New,4/22/24,10/22/24,1264630,1264630,Developing a benchmark hydrologic dataset and a fast AI surrogate model for assessing climate impacts on mountainous hillslopes,"Wang, Lijing",Lawrence Berkeley National Laboratory,nairr-user-xxx,Hydrology and Water Resources,502065,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Mountainous watersheds serve as the water tower for downstream rivers. However, observations of discharge and groundwater levels are limited at the subcatchment level, and using hydrologic modeling directly at the subcatchment scale without observations will not provide realistic predictions. To address this sparse data gap, this project aims to simulate stochastic hydrologic responses across 2,000 mountainous hillslopes under various climate scenarios and uncertain subsurface and surface properties. The baseline mountainous hillslope model we used has integrated intensive geophysical and hydrologic datasets. The simulated 2,000 hydrologic responses become an AI-ready dataset to benchmark realistic hydrologic variations. Additionally, leveraging the Neural Operator, we plan to develop a fast AI surrogate model to quickly predict snowpack, discharge, and groundwater levels, substituting time-intensive hydrologic simulations. This pilot study not only advances hillslope hydrologic models by incorporating realistic subsurface and surface uncertainties but also contributes an openly accessible hydrologic dataset and a pretrained AI model for rapid hydrologic forecasting in mountainous regions, supporting water budgeting and climate impact assessments.",2024-04-26T14:37:37.922Z
NAIRR240038,170049,New,4/22/24,10/22/24,1264619,1264619,Towards Mechanistic Audits of LLMs,"Crovella, Mark",Boston University,nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The safety of machine learning tools is a critical societal concern.  The imment wide deployment of LLMs in society elevates the need for principled methods for auditing LLMs for socially undesirable behavior.   While previous attempts to perform algorithmic audits are often black-box, we propose to explore the white-box auditing of open source LLMs via the techniques of mechanistic interpretability.   This project will develop a large test suite of datasets corresponding to socially relevant concepts.  We will then use these datasets to probe a suite of LLMs to determine for which concepts and models the linear representation hypothesis holds.  In those cases, we will examine the resulting linear representations for evidence of undesirable interaction, for example, through interference due to superposition.  All datasets and results will be published in the open literature.",2024-04-26T14:37:37.922Z
NAIRR240040,170062,New,4/22/24,10/22/24,1264632,1264632,The Development Safety of Large Foundation Models,"Yang, Tianbao",Texas A&M University,nairr-user-xxx,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This project will investigate an importance issue of continual developing large foundation models. While large foundation models have demonstrated remarkable capabilities across various tasks, they are not without limitations, often necessitating iterative updates to enhance their performance in specific domains or tasks. In order to enhance the system's ability to adapt to the changing and complex world, it is necessary to undergo multiple iterations of model development, which involve collecting new data and training new
models. However, this iterative model development process raises significant safety issues that have been overlooked by existing studies in AI, i.e., the model development for acquiring new safety features may inadvertently lose the previously ensured safety features of the old model. This project will investigate novel approaches to address these issues.",2024-04-26T14:37:37.922Z
NAIRR240042,170047,New,4/22/24,10/22/24,1264617,1264617,Reinforcement Learning from Conversational Signals,"Artzi, Yoav",Cornell University,nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"We propose to fine-tune language models from interaction with users without explicit feedback, but instead from signals arising from how humans respond to system outputs in multi-turn conversational interactions. Unlike explicit human feedback, these signals require no annotation effort beyond the interaction itself. We develop an approach to learn from human response to system utterances to improve an underlying large language  model. We use two interaction scenarios for our studies and experiments, and evaluate through deployment with human users.",2024-04-26T14:37:37.922Z
NAIRR240044,169726,New,4/22/24,10/22/24,1264312,1264312,Training and Benchmarking Three Different Foundation Models on Public Histopathology Gigapixel Images for Whole Slide Image Representation,"Tizhoosh, Hamid",Mayo Clinic ,0000-0001-5488-601X,Performance Evaluation and Benchmarking,502085,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This proposal addresses the challenge of transforming whole slide images (WSIs) into actionable vectors for different computational pathology (CP) tasks. Despite recent progress in leveraging artificial intelligence (AI) in CP, WSIs pose unique challenges due to their large size and complex features. Our objective is to secure resources to train and benchmark three foundation models tailored for WSI representation. We aim to utilize publicly available datasets to conduct the largest-ever effort in training and benchmarking models at the WSI level. The selected models include LongNet, LambdaNetworks, and RWKV, each offering distinct approaches to long sequence analysis. Leveraging diverse datasets such as TCGA, PANDA, CAMELYON16, BRACS, and BCNB, we will ensure comprehensive coverage for robust training and evaluation. The evaluation will assess the performance of each model across relevant metrics, providing standardized findings for comparison. Given the massive size of WSIs, substantial computational and storage resources are required. Successful implementation of this proposal will advance research in CP, driving innovation and clinical translation. By providing comprehensive evaluations, this initiative empowers the research community to make informed decisions, ultimately improving patient outcomes.",2024-04-26T14:10:29.952Z
NAIRR240045,170052,New,4/22/24,10/22/24,1264622,1264622,"Guardians of Integrity in AI: Establishing Trust, Originality, and Ethical Standards (GATES)","Huang, Furong",University of Maryland,nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The advent of generative AI has ushered in unprecedented capabilities alongside significant ethical and security challenges. Guardians of Integrity in AI: Establishing Trust, Originality, and Ethical Standards (GATES) proposes an innovative research agenda aimed at fortifying the ethical backbone of artificial intelligence. This project targets three pivotal areas: the detection of AI-generated content to combat misinformation, the protection of intellectual property rights to uphold the originality and fairness in AI-generated works, and the development of trustworthy foundation models for enhanced human-AI collaboration. Through GATES, we intend to develop robust methodologies and frameworks that ensure AI systems are safe, secure, and aligned with human values. This initiative not only addresses immediate concerns within the AI community but also lays the groundwork for sustainable, ethical AI development, resonating with the goals of the NAIRR Pilot initiative. By integrating advanced computational techniques with ethical principles, GATES aims to lead the way in establishing a new standard for trustworthy AI, ensuring that these powerful technologies augment human capabilities without compromising ethical standards.",2024-04-26T14:37:37.922Z
NAIRR240046,169739,New,4/22/24,10/22/24,1264321,1264321,Enhancing LM Adaptation toward Safe and Trustworthy AI,"Hajishirzi, Hanna",University of Washington,0000-0002-1055-6657,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The capabilities of large language models (LMs) to follow user requests have been progressing rapidly through a wide range of openly available models, datasets, and training methods. In the meantime, we need to make these models safe, secure, and trustworthy. There has been rapid progress in both improving capabilities and safety of language models. Our team at UW are at the forefront of building open-source language models and adapting them to new capabilities and safety measures~\citep{wang2023far}, and making them trustworthy~\cite{asai-etal-2023-retrieval}. Since the release of our state-of-the-art models~\citep{wang2023far},  there have been a number of significant advances in almost all aspects of  language model adaptation, from the release of improved finetuning datasets~\citep{UltraChat, cui2023ultrafeedback}, to  increasingly powerful base models~\citep{touvron2023llama,jiang2023mistral}, to powerful and accessible adaptation methods for combining these components~\citep{rafailov2023direct, dettmers2023qlora}, and retrieval-augmentation models~\cite{asai-etal-2023-retrieval}. Building on our team's prior expertise, we propose to introduce and investigate approaches to make language models safe  and trustworthy.",2024-04-15T20:05:49.132Z
NAIRR240051,170054,New,4/22/24,10/22/24,1264624,1264624,Neuro-inspired Oversight for Safe and Trustworthy Large Language Models,"Kim, Edward",Drexel University,nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"We have observed that improving instruction following is fundamentally at odds with the ability of a language model to follow given safety filters or guidelines.  We have previously showed that larger parameter models exhibit superior capability in following instructions that require overriding both internal knowledge and contextual cues, demonstrating a high degree of obedience.  However, our research also highlights a fundamental issue between enhancing a model's ability to override instructions and maintaining adherence to safety protocols and guidelines.  Specifically, the most responsive instruction following LLMs are the ones that can be most easily jailbroken.

In our work, we believe that the architecture of the human brain illustrates a critical point, there is a separation between language understanding and moderation.  This is supported by functional mapping studies that show the language understanding center, e.g. Wernicke's area, and speech moderation and production area, Broca's area and surrounding Frontal Lobe, are in two distant and separate areas of the brain.  We are pursuing research in LLM moderation through the lens of biological intelligence.",2024-04-26T14:37:37.922Z
NAIRR240052,170063,New,4/22/24,10/22/24,1264633,1264633,"Pre-training a generative selective state space model, the Mamba model, on UCSF-specific deidentified clinical notes and time-series structured data","Sushil, Madhumita","University of California, San Francisco",nairr-user-xxx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"While large language models (LLMs) have made unprecedented advances in the general domain, their advances in medicine are limited by access to large datasets and advanced computing infrastructure. Existing publicly available LLMs are not always sufficient for healthcare-specific use, since they either lack domain knowledge, are expensive to use, or cannot be accessed in a HIPAA-compliant setting. To enable more widespread use of AI within medicine, we aim to develop an effective and task-independent foundation model for medicine trained on a large and diverse corpus of deidentified patient data from electronic health records at University of California San Francisco. A recent family of models, selective state space models, have demonstrated promising capabilities in long sequence processing, providing competitive performance to transformers-based models. In this study, we aim to develop a longitudinal selective state space LLM on medical data by encoding sequential knowledge from clinical encounters for generating future clinical states and actions.",2024-04-26T14:37:37.922Z
NAIRR240055,170053,New,4/22/24,10/22/24,1264623,1264623,Securing Healthcare Privacy: Rendering Large-Scale Unlearnable Medical Imaging Data to Prevent Data Leaks,"Huo, Yuankai",Vanderbilt University,nairr-user-xxx,Computer Science,502093,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This proposal outlines an innovative secure and trustworthy AI approach to safeguard healthcare data from unauthorized use in AI model training through the development of unlearnable examples (UE). As AI models, including foundation models like ChatGPT, SAM, and Sora, increasingly raise privacy and safety concerns, especially with the unauthorized use of patient data, the National Artificial Intelligence Research Resource (NAIRR) project aims to pioneer privacy-ensured radiological AI. By embedding invisible noise in over 2 million radiological images from MRI and CT scans, this project will generate label-agnostic UE models that protect medical imaging data against misuse in future AI training, without compromising their clinical utility. The project will leverage cutting-edge UE algorithms, high-performance computing, and Vision Transformer models to achieve its objectives. It addresses the urgent need for robust privacy measures in healthcare data, responding to the risks posed by the repurposing of medical imaging for AI training without explicit consent. The proposal also outlines a comprehensive strategy to overcome the challenges of developing UE models for healthcare, including the need for large-scale medical image datasets and substantial computational resources. Aim 1 focuses on rendering large-scale medical imaging data unlearnable, while Aim 2 assesses the effectiveness of UE models against various target models and advanced defenses. The project plans a six-month timeline to achieve its goals, aiming for outcomes that will be shared in leading academic venues. The success of this NAIRR project is expected to significantly advance the field of AI healthcare data security by utilizing Vanderbilt's clinical imaging data in conjunction with DOE's Leadership Computing Facility. This will lay the groundwork for future collaborations and open new avenues for healthcare and high-performance computing (HPC) AI research, ensuring privacy and intellectual property protections for sensitive healthcare data.",2024-04-26T14:37:37.922Z
NAIRR240057,169780,New,4/22/24,10/22/24,1264357,1264357,Unified Representation Learning,"Shrivastava, Abhinav","University of Maryland, College Park",0000-0001-8928-8554,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Deep learning has dominated the fields of generative modeling and discriminative visual recognition for the past decade. For generative tasks, a deep learning model seeks to synthesize or edit parts of images, while for discriminative tasks, it learns to label images or parts of images.  We argue that both of these can be considered complementary and intuitively should help each other because both need a semantic understanding of the underlying structure. We will develop unsupervised unified representations, for generative and discriminative tasks, to be used as general-purpose representations for various downstream tasks like image recognition, reconstruction, and synthesis. Such unified models can be efficiently finetuned for multiple downstream tasks, as opposed to having to pre-train large, expensive models separately for different tasks.",2024-04-15T20:35:30.212Z
